id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
113952,0926bde8,2023/03/24 11:10:57,1,fedc20debletest0,,-75.0,2,,1679627537000
113957,0926bde8,2023/03/24 11:10:58,1,fedc20debletest0,,-74.5,2,,1679627537000
113935,0926bde8,2023/03/24 11:11:32,1,fedc20debletest0,,-92.0,5,,1679627537000
113939,0926bde8,2023/03/24 11:11:33,1,fedc20debletest0,,-76.0,3,,1679627537000
113943,0926bde8,2023/03/24 11:11:34,1,fedc20debletest0,,-87.66666666666667,5,,1679627537000
113951,0926bde8,2023/03/24 11:11:35,1,fedc20debletest0,,-79.0,3,,1679627537000
113953,0926bde8,2023/03/24 11:11:36,1,fedc20debletest0,,-74.0,2,,1679627537000
113958,0926bde8,2023/03/24 11:11:37,1,fedc20debletest0,,-85.0,5,,1679627537000
113966,0926bde8,2023/03/24 11:11:38,1,fedc20debletest0,,-76.5,3,,1679627537000
113967,0926bde8,2023/03/24 11:11:39,1,fedc20debletest0,,-78.0,3,,1679627537000
113972,0926bde8,2023/03/24 11:11:40,1,fedc20debletest0,,-83.0,3,,1679627537000
113974,0926bde8,2023/03/24 11:11:41,1,fedc20debletest0,,-78.0,3,,1679627537000
113977,0926bde8,2023/03/24 11:11:42,1,fedc20debletest0,,-83.5,3,,1679627537000
113980,0926bde8,2023/03/24 11:11:43,1,fedc20debletest0,,-87.0,5,,1679627537000
113984,0926bde8,2023/03/24 11:11:44,1,fedc20debletest0,,-90.0,5,,1679627537000
114085,0926bde8,2023/03/24 11:12:27,1,fedc20debletest0,,-84.0,3,,1679627619000
114100,0926bde8,2023/03/24 11:12:30,1,fedc20debletest0,,-92.0,5,,1679627619000
114104,0926bde8,2023/03/24 11:12:31,1,fedc20debletest0,,-79.0,3,,1679627619000
114109,0926bde8,2023/03/24 11:12:33,1,fedc20debletest0,,-87.0,5,,1679627619000
114110,0926bde8,2023/03/24 11:12:34,1,fedc20debletest0,,-86.5,5,,1679627619000
114231,0926bde8,2023/03/24 11:13:55,1,fedc20debletest0,,-91.5,5,,1679627711000
114242,0926bde8,2023/03/24 11:13:56,1,fedc20debletest0,,-94.0,5,,1679627711000
114248,0926bde8,2023/03/24 11:13:57,1,fedc20debletest0,,-91.0,5,,1679627711000
114250,0926bde8,2023/03/24 11:13:58,1,fedc20debletest0,,-96.0,5,,1679627711000
114503,0926bde8,2023/03/24 11:17:06,1,fedc20debletest0,,-74.0,2,,1679627907000
114509,0926bde8,2023/03/24 11:17:07,1,fedc20debletest0,,-73.0,2,,1679627907000
114513,0926bde8,2023/03/24 11:17:08,1,fedc20debletest0,,-84.0,3,,1679627907000
114523,0926bde8,2023/03/24 11:17:10,1,fedc20debletest0,,-80.0,3,,1679627907000
114529,0926bde8,2023/03/24 11:17:11,1,fedc20debletest0,,-80.0,3,,1679627907000
114539,0926bde8,2023/03/24 11:17:13,1,fedc20debletest0,,-85.5,5,,1679627907000
114543,0926bde8,2023/03/24 11:17:14,1,fedc20debletest0,,-79.0,3,,1679627907000
114551,0926bde8,2023/03/24 11:17:15,1,fedc20debletest0,,-77.0,3,,1679627907000
114554,0926bde8,2023/03/24 11:17:16,1,fedc20debletest0,,-73.0,2,,1679627907000
114557,0926bde8,2023/03/24 11:17:17,1,fedc20debletest0,,-77.0,3,,1679627907000
114488,0926bde8,2023/03/24 11:17:47,1,fedc20debletest0,,-83.5,3,,1679627907000
114500,0926bde8,2023/03/24 11:17:49,1,fedc20debletest0,,-80.0,3,,1679627907000
114504,0926bde8,2023/03/24 11:17:50,1,fedc20debletest0,,-79.0,3,,1679627907000
114661,0926bde8,2023/03/24 11:18:31,1,fedc20debletest0,,-83.5,3,,1679627994000
114675,0926bde8,2023/03/24 11:18:34,1,fedc20debletest0,,-71.5,2,,1679627994000
114681,0926bde8,2023/03/24 11:18:35,1,fedc20debletest0,,-73.0,2,,1679627994000
114683,0926bde8,2023/03/24 11:18:36,1,fedc20debletest0,,-73.25,2,,1679627994000
114697,0926bde8,2023/03/24 11:18:38,1,fedc20debletest0,,-67.0,2,,1679627994000
114703,0926bde8,2023/03/24 11:18:39,1,fedc20debletest0,,-73.0,2,,1679627994000
114709,0926bde8,2023/03/24 11:18:41,1,fedc20debletest0,,-70.0,2,,1679627994000
114696,0926bde8,2023/03/24 11:19:17,1,fedc20debletest0,,-73.0,2,,1679627994000
114702,0926bde8,2023/03/24 11:19:18,1,fedc20debletest0,,-73.0,2,,1679627994000
114708,0926bde8,2023/03/24 11:19:19,1,fedc20debletest0,,-71.5,2,,1679627994000
114714,0926bde8,2023/03/24 11:19:20,1,fedc20debletest0,,-74.0,2,,1679627994000
114716,0926bde8,2023/03/24 11:19:21,1,fedc20debletest0,,-72.66666666666667,2,,1679627994000
114720,0926bde8,2023/03/24 11:19:22,1,fedc20debletest0,,-73.0,2,,1679627994000
114722,0926bde8,2023/03/24 11:19:23,1,fedc20debletest0,,-76.5,3,,1679627994000
114724,0926bde8,2023/03/24 11:19:24,1,fedc20debletest0,,-75.0,2,,1679627994000
