id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
77313,defe41cc,2023/02/21 12:15:03,1,fedc20debletest0,,-71.85714285714286,2,,1676952908000
77354,defe41cc,2023/02/21 12:15:12,1,fedc20debletest0,,-80.0,3,,1676952921000
77355,defe41cc,2023/02/21 12:15:29,1,fedc20debletest0,,-74.4,2,,1676952934000
77411,defe41cc,2023/02/21 12:15:38,1,fedc20debletest0,,-73.71428571428571,2,,1676952947000
77419,defe41cc,2023/02/21 12:15:42,1,fedc20debletest0,,-85.85714285714286,5,,1676952947000
77586,defe41cc,2023/02/21 12:16:35,1,fedc20debletest0,,-80.57142857142857,3,,1676952999000
77631,defe41cc,2023/02/21 12:16:44,1,fedc20debletest0,,-75.0,2,,1676953013000
77629,defe41cc,2023/02/21 12:16:48,1,fedc20debletest0,,-85.16666666666667,5,,1676953013000
77709,defe41cc,2023/02/21 12:17:10,1,fedc20debletest0,,-78.14285714285714,3,,1676953039000
77706,defe41cc,2023/02/21 12:17:14,1,fedc20debletest0,,-76.4,3,,1676953039000
77751,defe41cc,2023/02/21 12:17:23,1,fedc20debletest0,,-80.0,3,,1676953052000
77753,defe41cc,2023/02/21 12:17:41,1,fedc20debletest0,,-75.81818181818181,2,,1676953065000
77817,defe41cc,2023/02/21 12:17:50,1,fedc20debletest0,,-87.4,5,,1676953078000
77821,defe41cc,2023/02/21 12:17:54,1,fedc20debletest0,,-79.0,3,,1676953078000
77990,defe41cc,2023/02/21 12:18:16,1,fedc20debletest0,,-75.5,2,,1676953105000
77989,defe41cc,2023/02/21 12:18:20,1,fedc20debletest0,,-85.0,5,,1676953105000
78085,defe41cc,2023/02/21 12:18:29,1,fedc20debletest0,,-78.66666666666667,3,,1676953118000
78087,defe41cc,2023/02/21 12:18:46,1,fedc20debletest0,,-88.0,5,,1676953131000
78088,defe41cc,2023/02/21 12:18:47,1,fedc20debletest0,,-85.28571428571429,5,,1676953131000
78112,defe41cc,2023/02/21 12:18:55,1,fedc20debletest0,,-73.25,2,,1676953144000
78111,defe41cc,2023/02/21 12:18:59,1,fedc20debletest0,,-76.0,3,,1676953144000
78228,defe41cc,2023/02/21 12:19:22,1,fedc20debletest0,,-79.0,3,,1676953170000
78227,defe41cc,2023/02/21 12:19:26,1,fedc20debletest0,,-83.5,3,,1676953170000
78320,defe41cc,2023/02/21 12:19:35,1,fedc20debletest0,,-80.5,3,,1676953183000
78432,defe41cc,2023/02/21 12:19:52,1,fedc20debletest0,,-83.0,3,,1676953197000
78520,defe41cc,2023/02/21 12:20:01,1,fedc20debletest0,,-86.0,5,,1676953210000
78542,defe41cc,2023/02/21 12:20:27,1,fedc20debletest0,,-81.0,3,,1676953236000
78548,defe41cc,2023/02/21 12:20:28,1,fedc20debletest0,,-71.75,2,,1676953236000
78541,defe41cc,2023/02/21 12:20:31,1,fedc20debletest0,,-70.0,2,,1676953236000
78588,defe41cc,2023/02/21 12:20:40,1,fedc20debletest0,,-90.5,5,,1676953249000
78591,defe41cc,2023/02/21 12:20:41,1,fedc20debletest0,,-87.0,5,,1676953249000
78671,defe41cc,2023/02/21 12:20:58,1,fedc20debletest0,,-75.0,2,,1676953262000
78758,defe41cc,2023/02/21 12:21:07,1,fedc20debletest0,,-73.0,2,,1676953275000
78756,defe41cc,2023/02/21 12:21:11,1,fedc20debletest0,,-84.0,3,,1676953275000
78942,defe41cc,2023/02/21 12:21:33,1,fedc20debletest0,,-78.0,3,,1676953302000
78948,defe41cc,2023/02/21 12:21:37,1,fedc20debletest0,,-81.5,3,,1676953302000
78978,defe41cc,2023/02/21 12:21:46,1,fedc20debletest0,,-78.0,3,,1676953315000
78979,defe41cc,2023/02/21 12:22:03,1,fedc20debletest0,,-71.5,2,,1676953328000
78985,defe41cc,2023/02/21 12:22:04,1,fedc20debletest0,,-70.4,2,,1676953328000
79004,defe41cc,2023/02/21 12:22:12,1,fedc20debletest0,,-71.2,2,,1676953341000
79009,defe41cc,2023/02/21 12:22:13,1,fedc20debletest0,,-73.16666666666667,2,,1676953341000
79002,defe41cc,2023/02/21 12:22:16,1,fedc20debletest0,,-74.5,2,,1676953341000
79005,defe41cc,2023/02/21 12:22:17,1,fedc20debletest0,,-73.18181818181819,2,,1676953341000
79116,defe41cc,2023/02/21 12:22:39,1,fedc20debletest0,,-76.71428571428571,3,,1676953367000
79227,defe41cc,2023/02/21 12:22:52,1,fedc20debletest0,,-72.9090909090909,2,,1676953381000
79232,defe41cc,2023/02/21 12:23:09,1,fedc20debletest0,,-78.75,3,,1676953394000
79389,defe41cc,2023/02/21 12:23:18,1,fedc20debletest0,,-84.2,3,,1676953407000
79388,defe41cc,2023/02/21 12:23:22,1,fedc20debletest0,,-79.0,3,,1676953407000
79527,defe41cc,2023/02/21 12:23:45,1,fedc20debletest0,,-78.0,3,,1676953433000
79528,defe41cc,2023/02/21 12:23:49,1,fedc20debletest0,,-76.0,3,,1676953433000
79625,defe41cc,2023/02/21 12:24:15,1,fedc20debletest0,,-80.3076923076923,3,,1676953459000
79645,defe41cc,2023/02/21 12:24:24,1,fedc20debletest0,,-88.44444444444444,5,,1676953473000
79640,defe41cc,2023/02/21 12:24:28,1,fedc20debletest0,,-90.54545454545456,5,,1676953473000
79782,defe41cc,2023/02/21 12:24:50,1,fedc20debletest0,,-86.25,5,,1676953499000
79793,defe41cc,2023/02/21 12:24:51,1,fedc20debletest0,,-87.0,5,,1676953499000
