id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
103950,7.5909e+93,2023/03/24 09:40:11,1,dc32f1d2bletest0,,-74.0,2,,1679622054000
103953,7.5909e+93,2023/03/24 09:40:12,1,dc32f1d2bletest0,,-75.0,2,,1679622054000
103959,7.5909e+93,2023/03/24 09:40:13,1,dc32f1d2bletest0,,-73.33333333333333,2,,1679622054000
103976,7.5909e+93,2023/03/24 09:40:16,1,dc32f1d2bletest0,,-75.0,2,,1679622054000
103982,7.5909e+93,2023/03/24 09:40:17,1,dc32f1d2bletest0,,-78.5,3,,1679622054000
104157,7.5909e+93,2023/03/24 09:41:34,1,dc32f1d2bletest0,,-75.0,2,,1679622126000
104160,7.5909e+93,2023/03/24 09:41:35,1,dc32f1d2bletest0,,-71.5,2,,1679622126000
104168,7.5909e+93,2023/03/24 09:41:36,1,dc32f1d2bletest0,,-75.0,2,,1679622126000
104173,7.5909e+93,2023/03/24 09:41:37,1,dc32f1d2bletest0,,-73.0,2,,1679622126000
104177,7.5909e+93,2023/03/24 09:41:38,1,dc32f1d2bletest0,,-71.66666666666667,2,,1679622126000
104493,7.5909e+93,2023/03/24 09:43:07,1,dc32f1d2bletest0,,-67.0,2,,1679622217000
104495,7.5909e+93,2023/03/24 09:43:08,1,dc32f1d2bletest0,,-67.33333333333333,2,,1679622217000
104497,7.5909e+93,2023/03/24 09:43:09,1,dc32f1d2bletest0,,-65.0,1,,1679622217000
104499,7.5909e+93,2023/03/24 09:43:10,1,dc32f1d2bletest0,,-66.0,2,,1679622217000
104785,7.5909e+93,2023/03/24 09:43:54,1,dc32f1d2bletest0,,-72.75,2,,1679622303000
105325,7.5909e+93,2023/03/24 09:46:35,1,dc32f1d2bletest0,,-61.0,1,,1679622486000
105332,7.5909e+93,2023/03/24 09:46:36,1,dc32f1d2bletest0,,-59.0,1,,1679622486000
105340,7.5909e+93,2023/03/24 09:46:37,1,dc32f1d2bletest0,,-63.5,1,,1679622486000
105347,7.5909e+93,2023/03/24 09:46:38,1,dc32f1d2bletest0,,-62.0,1,,1679622486000
105355,7.5909e+93,2023/03/24 09:46:39,1,dc32f1d2bletest0,,-62.0,1,,1679622486000
105363,7.5909e+93,2023/03/24 09:46:40,1,dc32f1d2bletest0,,-59.0,1,,1679622486000
105320,7.5909e+93,2023/03/24 09:47:22,1,dc32f1d2bletest0,,-64.0,1,,1679622486000
105328,7.5909e+93,2023/03/24 09:47:23,1,dc32f1d2bletest0,,-71.0,2,,1679622486000
105337,7.5909e+93,2023/03/24 09:47:24,1,dc32f1d2bletest0,,-67.0,2,,1679622486000
105345,7.5909e+93,2023/03/24 09:47:25,1,dc32f1d2bletest0,,-60.0,1,,1679622486000
105353,7.5909e+93,2023/03/24 09:47:26,1,dc32f1d2bletest0,,-65.0,1,,1679622486000
105361,7.5909e+93,2023/03/24 09:47:27,1,dc32f1d2bletest0,,-62.0,1,,1679622486000
105365,7.5909e+93,2023/03/24 09:47:28,1,dc32f1d2bletest0,,-59.66666666666666,1,,1679622486000
105379,7.5909e+93,2023/03/24 09:47:29,1,dc32f1d2bletest0,,-60.0,1,,1679622486000
105603,7.5909e+93,2023/03/24 09:48:10,1,dc32f1d2bletest0,,-60.0,1,,1679622576000
105610,7.5909e+93,2023/03/24 09:48:11,1,dc32f1d2bletest0,,-62.333333333333336,1,,1679622576000
105619,7.5909e+93,2023/03/24 09:48:12,1,dc32f1d2bletest0,,-62.0,1,,1679622576000
105628,7.5909e+93,2023/03/24 09:48:13,1,dc32f1d2bletest0,,-66.0,2,,1679622576000
105598,7.5909e+93,2023/03/24 09:48:50,1,dc32f1d2bletest0,,-58.0,1,,1679622576000
105825,7.5909e+93,2023/03/24 09:49:40,1,dc32f1d2bletest0,,-64.0,1,,1679622663000
105829,7.5909e+93,2023/03/24 09:49:41,1,dc32f1d2bletest0,,-69.5,2,,1679622663000
105841,7.5909e+93,2023/03/24 09:49:42,1,dc32f1d2bletest0,,-68.5,2,,1679622663000
105854,7.5909e+93,2023/03/24 09:49:44,1,dc32f1d2bletest0,,-70.0,2,,1679622663000
106083,7.5909e+93,2023/03/24 09:51:07,1,dc32f1d2bletest0,,-71.0,2,,1679622741000
106090,7.5909e+93,2023/03/24 09:51:08,1,dc32f1d2bletest0,,-76.0,3,,1679622741000
