id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
107712,dc32f1d2,2023/03/24 10:03:58,1,75909e89bletest0,null,-75,2,,1679623525000
107714,dc32f1d2,2023/03/24 10:03:59,1,75909e89bletest0,null,-76.5,3,,1679623525000
107715,dc32f1d2,2023/03/24 10:04:01,1,75909e89bletest0,null,-75,2,,1679623525000
107716,dc32f1d2,2023/03/24 10:04:02,1,75909e89bletest0,null,-75,2,,1679623525000
107717,dc32f1d2,2023/03/24 10:04:04,1,75909e89bletest0,null,-78,3,,1679623525000
107721,dc32f1d2,2023/03/24 10:04:45,1,75909e89bletest0,null,-77,3,,1679623525000
107724,dc32f1d2,2023/03/24 10:04:46,1,75909e89bletest0,null,-71,2,,1679623525000
107727,dc32f1d2,2023/03/24 10:04:47,1,75909e89bletest0,null,-80,3,,1679623525000
108011,dc32f1d2,2023/03/24 10:05:37,1,75909e89bletest0,null,-66,2,,1679623628000
108012,dc32f1d2,2023/03/24 10:05:39,1,75909e89bletest0,null,-62,1,,1679623628000
108013,dc32f1d2,2023/03/24 10:05:40,1,75909e89bletest0,null,-62,1,,1679623628000
108014,dc32f1d2,2023/03/24 10:05:42,1,75909e89bletest0,null,-59,1,,1679623628000
108015,dc32f1d2,2023/03/24 10:05:43,1,75909e89bletest0,null,-61,1,,1679623628000
108016,dc32f1d2,2023/03/24 10:05:44,1,75909e89bletest0,null,-62,1,,1679623628000
108017,dc32f1d2,2023/03/24 10:05:45,1,75909e89bletest0,null,-63,1,,1679623628000
108018,dc32f1d2,2023/03/24 10:06:21,1,75909e89bletest0,null,-62,1,,1679623628000
108019,dc32f1d2,2023/03/24 10:06:22,1,75909e89bletest0,null,-60,1,,1679623628000
108020,dc32f1d2,2023/03/24 10:06:24,1,75909e89bletest0,null,-62,1,,1679623628000
108021,dc32f1d2,2023/03/24 10:06:25,1,75909e89bletest0,null,-58,1,,1679623628000
108022,dc32f1d2,2023/03/24 10:06:28,1,75909e89bletest0,null,-61,1,,1679623628000
108024,dc32f1d2,2023/03/24 10:06:29,1,75909e89bletest0,null,-64,1,,1679623628000
108026,dc32f1d2,2023/03/24 10:06:30,1,75909e89bletest0,null,-63,1,,1679623628000
108378,dc32f1d2,2023/03/24 10:07:12,1,75909e89bletest0,null,-53,1,,1679623725000
108379,dc32f1d2,2023/03/24 10:07:14,1,75909e89bletest0,null,-56,1,,1679623725000
108380,dc32f1d2,2023/03/24 10:07:58,1,75909e89bletest0,null,-54,1,,1679623725000
108381,dc32f1d2,2023/03/24 10:07:15,1,75909e89bletest0,null,-53.5,1,,1679623725000
108384,dc32f1d2,2023/03/24 10:07:16,1,75909e89bletest0,null,-63,1,,1679623725000
