id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
125395,0926bde8,2023/04/27 20:01:34,1,f69de6fcbletest0,,-81.0,3,,1682596939000
125398,0926bde8,2023/04/27 20:01:35,1,f69de6fcbletest0,,-85.0,5,,1682596939000
125402,0926bde8,2023/04/27 20:01:36,1,f69de6fcbletest0,,-82.0,3,,1682596939000
125404,0926bde8,2023/04/27 20:01:37,1,f69de6fcbletest0,,-80.5,3,,1682596939000
125406,0926bde8,2023/04/27 20:01:38,1,f69de6fcbletest0,,-82.0,3,,1682596939000
125410,0926bde8,2023/04/27 20:01:39,1,f69de6fcbletest0,,-85.0,5,,1682596939000
125412,0926bde8,2023/04/27 20:01:40,1,f69de6fcbletest0,,-85.0,5,,1682596939000
125868,0926bde8,2023/04/27 20:05:46,1,f69de6fcbletest0,,-83.0,3,,1682597228000
125870,0926bde8,2023/04/27 20:05:47,1,f69de6fcbletest0,,-71.0,2,,1682597228000
125872,0926bde8,2023/04/27 20:05:48,1,f69de6fcbletest0,,-79.0,3,,1682597228000
125874,0926bde8,2023/04/27 20:05:49,1,f69de6fcbletest0,,-77.0,3,,1682597228000
125876,0926bde8,2023/04/27 20:05:50,1,f69de6fcbletest0,,-69.5,2,,1682597228000
125879,0926bde8,2023/04/27 20:05:51,1,f69de6fcbletest0,,-83.5,3,,1682597228000
125881,0926bde8,2023/04/27 20:05:52,1,f69de6fcbletest0,,-69.0,2,,1682597228000
125883,0926bde8,2023/04/27 20:05:53,1,f69de6fcbletest0,,-73.0,2,,1682597228000
125869,0926bde8,2023/04/27 20:06:24,1,f69de6fcbletest0,,-70.66666666666667,2,,1682597228000
125871,0926bde8,2023/04/27 20:06:25,1,f69de6fcbletest0,,-75.5,2,,1682597228000
125873,0926bde8,2023/04/27 20:06:26,1,f69de6fcbletest0,,-77.0,3,,1682597228000
125875,0926bde8,2023/04/27 20:06:27,1,f69de6fcbletest0,,-74.5,2,,1682597228000
125877,0926bde8,2023/04/27 20:06:28,1,f69de6fcbletest0,,-87.0,5,,1682597228000
125878,0926bde8,2023/04/27 20:06:29,1,f69de6fcbletest0,,-77.0,3,,1682597228000
125880,0926bde8,2023/04/27 20:06:30,1,f69de6fcbletest0,,-78.5,3,,1682597228000
125882,0926bde8,2023/04/27 20:06:31,1,f69de6fcbletest0,,-75.0,2,,1682597228000
125884,0926bde8,2023/04/27 20:06:32,1,f69de6fcbletest0,,-72.66666666666667,2,,1682597228000
125885,0926bde8,2023/04/27 20:06:33,1,f69de6fcbletest0,,-74.0,2,,1682597228000
125887,0926bde8,2023/04/27 20:06:35,1,f69de6fcbletest0,,-71.5,2,,1682597228000
125888,0926bde8,2023/04/27 20:06:36,1,f69de6fcbletest0,,-78.0,3,,1682597228000
125964,0926bde8,2023/04/27 20:07:15,1,f69de6fcbletest0,,-66.0,2,,1682597317000
125966,0926bde8,2023/04/27 20:07:16,1,f69de6fcbletest0,,-64.66666666666667,1,,1682597317000
125967,0926bde8,2023/04/27 20:07:17,1,f69de6fcbletest0,,-68.0,2,,1682597317000
125969,0926bde8,2023/04/27 20:07:18,1,f69de6fcbletest0,,-70.0,2,,1682597317000
125971,0926bde8,2023/04/27 20:07:19,1,f69de6fcbletest0,,-84.33333333333333,3,,1682597317000
125973,0926bde8,2023/04/27 20:07:20,1,f69de6fcbletest0,,-71.0,2,,1682597317000
125975,0926bde8,2023/04/27 20:07:21,1,f69de6fcbletest0,,-75.0,2,,1682597317000
125977,0926bde8,2023/04/27 20:07:22,1,f69de6fcbletest0,,-73.25,2,,1682597317000
125979,0926bde8,2023/04/27 20:07:23,1,f69de6fcbletest0,,-70.0,2,,1682597317000
125981,0926bde8,2023/04/27 20:07:24,1,f69de6fcbletest0,,-75.4,2,,1682597317000
125983,0926bde8,2023/04/27 20:07:25,1,f69de6fcbletest0,,-73.0,2,,1682597317000
125985,0926bde8,2023/04/27 20:07:26,1,f69de6fcbletest0,,-69.33333333333333,2,,1682597317000
125987,0926bde8,2023/04/27 20:07:27,1,f69de6fcbletest0,,-75.0,2,,1682597317000
125968,0926bde8,2023/04/27 20:07:59,1,f69de6fcbletest0,,-85.0,5,,1682597317000
125974,0926bde8,2023/04/27 20:08:00,1,f69de6fcbletest0,,-69.0,2,,1682597317000
125976,0926bde8,2023/04/27 20:08:01,1,f69de6fcbletest0,,-73.5,2,,1682597317000
125980,0926bde8,2023/04/27 20:08:02,1,f69de6fcbletest0,,-71.0,2,,1682597317000
125982,0926bde8,2023/04/27 20:08:03,1,f69de6fcbletest0,,-87.0,5,,1682597317000
125986,0926bde8,2023/04/27 20:08:04,1,f69de6fcbletest0,,-86.0,5,,1682597317000
