id,identity_code,inter_time,inter_flag,inter_mobile_identity_code,major_minor,rssi,distance,place,upload_time
106827,7.5909e+93,2023/03/24 10:01:10,1,dc32f1d2bletest0,,-73.0,2,,1679623318000
106832,7.5909e+93,2023/03/24 10:01:11,1,dc32f1d2bletest0,,-79.0,3,,1679623318000
106841,7.5909e+93,2023/03/24 10:01:12,1,dc32f1d2bletest0,,-75.0,2,,1679623318000
106847,7.5909e+93,2023/03/24 10:01:13,1,dc32f1d2bletest0,,-75.0,2,,1679623318000
106850,7.5909e+93,2023/03/24 10:01:14,1,dc32f1d2bletest0,,-74.5,2,,1679623318000
106856,7.5909e+93,2023/03/24 10:01:15,1,dc32f1d2bletest0,,-85.0,5,,1679623318000
106862,7.5909e+93,2023/03/24 10:01:16,1,dc32f1d2bletest0,,-74.5,2,,1679623318000
106875,7.5909e+93,2023/03/24 10:01:17,1,dc32f1d2bletest0,,-79.0,3,,1679623318000
106880,7.5909e+93,2023/03/24 10:01:18,1,dc32f1d2bletest0,,-76.5,3,,1679623318000
106886,7.5909e+93,2023/03/24 10:01:19,1,dc32f1d2bletest0,,-76.0,3,,1679623318000
106894,7.5909e+93,2023/03/24 10:01:20,1,dc32f1d2bletest0,,-77.0,3,,1679623318000
107130,7.5909e+93,2023/03/24 10:02:02,1,dc32f1d2bletest0,,-75.0,2,,1679623409000
107138,7.5909e+93,2023/03/24 10:02:03,1,dc32f1d2bletest0,,-73.0,2,,1679623409000
107155,7.5909e+93,2023/03/24 10:02:04,1,dc32f1d2bletest0,,-87.0,5,,1679623409000
107167,7.5909e+93,2023/03/24 10:02:05,1,dc32f1d2bletest0,,-70.0,2,,1679623409000
107175,7.5909e+93,2023/03/24 10:02:06,1,dc32f1d2bletest0,,-79.0,3,,1679623409000
107191,7.5909e+93,2023/03/24 10:02:07,1,dc32f1d2bletest0,,-77.0,3,,1679623409000
107199,7.5909e+93,2023/03/24 10:02:08,1,dc32f1d2bletest0,,-79.5,3,,1679623409000
107129,7.5909e+93,2023/03/24 10:02:49,1,dc32f1d2bletest0,,-78.0,3,,1679623409000
107133,7.5909e+93,2023/03/24 10:02:50,1,dc32f1d2bletest0,,-76.33333333333333,3,,1679623409000
107137,7.5909e+93,2023/03/24 10:02:51,1,dc32f1d2bletest0,,-79.0,3,,1679623409000
107141,7.5909e+93,2023/03/24 10:02:52,1,dc32f1d2bletest0,,-77.5,3,,1679623409000
107157,7.5909e+93,2023/03/24 10:02:53,1,dc32f1d2bletest0,,-78.0,3,,1679623409000
107172,7.5909e+93,2023/03/24 10:02:55,1,dc32f1d2bletest0,,-79.0,3,,1679623409000
107184,7.5909e+93,2023/03/24 10:02:56,1,dc32f1d2bletest0,,-79.5,3,,1679623409000
107202,7.5909e+93,2023/03/24 10:02:57,1,dc32f1d2bletest0,,-81.0,3,,1679623409000
107210,7.5909e+93,2023/03/24 10:02:58,1,dc32f1d2bletest0,,-82.5,3,,1679623409000
107218,7.5909e+93,2023/03/24 10:02:59,1,dc32f1d2bletest0,,-76.33333333333333,3,,1679623409000
107232,7.5909e+93,2023/03/24 10:03:00,1,dc32f1d2bletest0,,-75.0,2,,1679623409000
